league_key,league_name,country_name
713,Australia Cup,Australia
714,CECAFA Club Cup,intl
715,Super Cup,San Marino
716,Premier League Cup,England
717,Women's Asian Cup Qualification,Worldcup
718,Thai Champions Cup,Thailand
719,U20 Elite League,eurocups
720,Coppa Italia Serie C,Italy
721,Reserve League,Netherlands
722,MLS All-Star,USA
723,Campeones Cup,intl
725,Santosh Trophy,India
728,Ligue Haïtienne,Haiti
740,Amapaense,Brazil
752,National League N / S,England
1185,Torneo Federal A,Argentina
1188,Prim B Metro,Argentina
1189,Primera Nacional,Argentina
5494,Brasileiro Women,Brazil
7089,League Cup,Finland
7090,The Atlantic Cup,intl
7091,League Cup,Thailand
7092,League Cup,Egypt
7093,Tipsport Malta Cup,intl
7094,Ykköscup,Finland
7095,Primera Division,Cuba
7096,Torneo Proyección,Argentina
7097,MLS Next Pro,USA
7098,Africa Cup of Nations Qualification,intl
7099,UEFA U17 Championship,intl
7100,FA Cup,Malaysia
7101,Youth Viareggio Cup,intl
7102,Algarve Cup,intl
7103,Super Cup,United Arab Emirates
7104,Concacaf Women's U17,intl
7105,AFC Women's Asian Cup,intl
7106,Southeast Asian Games,intl
7107,NASL,USA
7108,Super Cup,Iran
7109,SheBelieves Cup,intl
7110,ASEAN U23 Championship,intl
7534,Emirates Cup,intl
7535,Tournoi Maurice Revello,intl
7536,Kirin Cup,intl
7537,Copa Ecuador,Ecuador
7538,EAFF E-1 Football Championship,intl
7539,1. Division Women,Norway
7540,CONMEBOL/UEFA Finalissima,intl
7541,League 1 Ontario,Canada
7542,Copa Uruguay,Uruguay
7543,Super League,Kenya
7544,Catarinense 2,Brazil
7545,U20 Arab Championship,intl
7546,Chinese Football League 2,China
7547,CAF Women's Africa Cup of Nations,intl
7548,FIFA U20 Women's World Cup,intl
7549,Mediterranean Games,intl
7550,ASEAN U19 Championship,intl
7551,UEFA U19 Championship Women,intl
7552,Piala Presiden,Indonesia
7553,CONMEBOL Copa America Femenina,intl
7554,Diski Shield,South Africa
7555,Concacaf Women's World Cup Qualifiers,intl
8201,Africa U23 Cup of Nations Qualification,intl
8202,Cup,Singapore
8203,Leagues Cup,intl
8204,Second NL,Croatia
8205,South American Youth Games,intl
8206,CONMEBOL Libertadores Femenina,intl
