league_id,name,country,sport,season,slug,raw.league_key,raw.league_name,raw.country_key,raw.country_name,raw.league_logo,raw.country_logo
619,Africa U20 Cup of Nations,intl,,,,619,Africa U20 Cup of Nations,2,intl,,https://apiv2.allsportsapi.com/logo/logo_country/2_intl.png
620,Dhivehi Premier League,Maldives,,,,620,Dhivehi Premier League,164,Maldives,,https://apiv2.allsportsapi.com/logo/logo_country/164_maldives.png
621,Løgmanssteypid,Faroe Islands,,,,621,Løgmanssteypid,46,Faroe Islands,,https://apiv2.allsportsapi.com/logo/logo_country/46_faroe-islands.png
622,U18 Premier League,England,,,,622,U18 Premier League,44,England,https://apiv2.allsportsapi.com/logo/logo_leagues/622_u18-premier-league.png,https://apiv2.allsportsapi.com/logo/logo_country/44_england.png
623,PFL,Philippines,,,,623,PFL,165,Philippines,,https://apiv2.allsportsapi.com/logo/logo_country/165_philippines.png
624,Concacaf League,intl,,,,624,Concacaf League,2,intl,,https://apiv2.allsportsapi.com/logo/logo_country/2_intl.png
625,Frauenliga,Austria,,,,625,Frauenliga,18,Austria,,https://apiv2.allsportsapi.com/logo/logo_country/18_austria.png
626,Super League Women,Switzerland,,,,626,Super League Women,106,Switzerland,,https://apiv2.allsportsapi.com/logo/logo_country/106_switzerland.png
627,Central Youth League,Poland,,,,627,Central Youth League,91,Poland,,https://apiv2.allsportsapi.com/logo/logo_country/91_poland.png
628,Campionato Primavera 1,Italy,,,,628,Campionato Primavera 1,5,Italy,,https://apiv2.allsportsapi.com/logo/logo_country/5_italy.png
629,DFB Junioren Pokal,Germany,,,,629,DFB Junioren Pokal,4,Germany,,https://apiv2.allsportsapi.com/logo/logo_country/4_germany.png
630,Campionato Primavera 2,Italy,,,,630,Campionato Primavera 2,5,Italy,,https://apiv2.allsportsapi.com/logo/logo_country/5_italy.png
632,São Paulo Youth Cup,Brazil,,,,632,São Paulo Youth Cup,27,Brazil,,https://apiv2.allsportsapi.com/logo/logo_country/27_brazil.png
634,CONMEBOL Libertadores U20,intl,,,,634,CONMEBOL Libertadores U20,2,intl,,https://apiv2.allsportsapi.com/logo/logo_country/2_intl.png
635,Concacaf Nations League Qualification,intl,,,,635,Concacaf Nations League Qualification,2,intl,,https://apiv2.allsportsapi.com/logo/logo_country/2_intl.png
636,Copa do Brasil U20,Brazil,,,,636,Copa do Brasil U20,27,Brazil,,https://apiv2.allsportsapi.com/logo/logo_country/27_brazil.png
637,AIFF Super Cup,India,,,,637,AIFF Super Cup,58,India,,https://apiv2.allsportsapi.com/logo/logo_country/58_india.png
638,China Cup,intl,,,,638,China Cup,2,intl,,https://apiv2.allsportsapi.com/logo/logo_country/2_intl.png
639,WK-League,Korea Republic,,,,639,WK-League,68,Korea Republic,,https://apiv2.allsportsapi.com/logo/logo_country/68_korea-republic.png
643,Liga MX Femenil,Mexico,,,,643,Liga MX Femenil,78,Mexico,,https://apiv2.allsportsapi.com/logo/logo_country/78_mexico.png
644,Liga Revelação U23,Portugal,,,,644,Liga Revelação U23,92,Portugal,,https://apiv2.allsportsapi.com/logo/logo_country/92_portugal.png
645,Liga 1 Feminin,Romania,,,,645,Liga 1 Feminin,94,Romania,,https://apiv2.allsportsapi.com/logo/logo_country/94_romania.png
646,Arab Club Champions Cup,intl,,,,646,Arab Club Champions Cup,2,intl,,https://apiv2.allsportsapi.com/logo/logo_country/2_intl.png
647,QSL Cup,Qatar,,,,647,QSL Cup,93,Qatar,,https://apiv2.allsportsapi.com/logo/logo_country/93_qatar.png
648,Senior Shield,Hong Kong,,,,648,Senior Shield,55,Hong Kong,,https://apiv2.allsportsapi.com/logo/logo_country/55_hong-kong.png
650,Women's FA Cup,England,,,,650,Women's FA Cup,44,England,,https://apiv2.allsportsapi.com/logo/logo_country/44_england.png
651,Women's Super League,England,,,,651,Women's Super League,44,England,,https://apiv2.allsportsapi.com/logo/logo_country/44_england.png
652,WSL 2,England,,,,652,WSL 2,44,England,,https://apiv2.allsportsapi.com/logo/logo_country/44_england.png
653,USL League One,USA,,,,653,USL League One,114,USA,,https://apiv2.allsportsapi.com/logo/logo_country/114_usa.png
655,FA Women's League Cup,England,,,,655,FA Women's League Cup,44,England,,https://apiv2.allsportsapi.com/logo/logo_country/44_england.png
656,Piala Indonesia,Indonesia,,,,656,Piala Indonesia,59,Indonesia,,https://apiv2.allsportsapi.com/logo/logo_country/59_indonesia.png
659,Canadian Premier League,Canada,,,,659,Canadian Premier League,30,Canada,https://apiv2.allsportsapi.com/logo/logo_leagues/659_canadian-premier-league.png,https://apiv2.allsportsapi.com/logo/logo_country/30_canada.png
660,Brasileiro Feminino A1,Brazil,,,,660,Brasileiro Feminino A1,27,Brazil,,https://apiv2.allsportsapi.com/logo/logo_country/27_brazil.png
661,Concacaf Caribbean Club Shield,intl,,,,661,Concacaf Caribbean Club Shield,2,intl,,https://apiv2.allsportsapi.com/logo/logo_country/2_intl.png
662,Copa de la Superliga,Argentina,,,,662,Copa de la Superliga,14,Argentina,,https://apiv2.allsportsapi.com/logo/logo_country/14_argentina.png
663,Superliga Women,Russia,,,,663,Superliga Women,95,Russia,,https://apiv2.allsportsapi.com/logo/logo_country/95_russia.png
664,Concacaf Nations League,intl,,,,664,Concacaf Nations League,2,intl,,https://apiv2.allsportsapi.com/logo/logo_country/2_intl.png
665,OFC Nations Cup,intl,,,,665,OFC Nations Cup,2,intl,,https://apiv2.allsportsapi.com/logo/logo_country/2_intl.png
666,UEFA U21 Championship Qualification,intl,,,,666,UEFA U21 Championship Qualification,2,intl,,https://apiv2.allsportsapi.com/logo/logo_country/2_intl.png
669,Taça Revelação U23,Portugal,,,,669,Taça Revelação U23,92,Portugal,,https://apiv2.allsportsapi.com/logo/logo_country/92_portugal.png
670,QFA Cup,Qatar,,,,670,QFA Cup,93,Qatar,,https://apiv2.allsportsapi.com/logo/logo_country/93_qatar.png
674,NWSL,USA,,,,674,NWSL,114,USA,,https://apiv2.allsportsapi.com/logo/logo_country/114_usa.png
